datetime,eur_quantity,rate,usd_amount,fee_eur
2025-12-19 11:46:48,-0.86,1.17129,1.01,0.00
2025-12-19 11:46:49,-0.01,1.17144,0.01,0.00
2025-12-19 11:46:49,-153.55,1.17144,179.87,0.00
2025-12-19 17:00:00,-0.01168188,1.1704968,0.01,0.00
2025-12-19 17:00:00,0.00624178,1.17104341,-0.01,0.00
2026-02-09 09:31:58,-240,1.191200485,285.89,-1.69
2026-02-09 09:35:13,-0.84,1.19033,1.00,0.00
2026-02-09 09:35:43,-237.5,1.19038,282.72,0.00
2026-02-09 09:35:44,-0.03,1.19038,0.04,0.00
2026-02-09 09:35:44,234.49,1.19136,-279.36,0.00
2026-02-09 17:00:00,0.00091384,1.19195748,0.00,0.00
2026-02-09 17:00:00,-0.0001031,1.19113242,0.00,0.00
2026-02-09 17:00:00,-0.00297065,1.19118748,0.00,0.00
2026-03-03 14:42:16,-503.23,1.16194,584.72,0.00
2026-03-03 14:42:17,-0.02,1.16194,0.02,0.00
2026-03-03 17:00:00,-0.0074726,1.16079536,0.01,0.00
2026-03-12 17:00:00,0.46906294,1.15123143,-0.54,0.00
2026-03-17 15:14:17,-0.87,1.15339,1.00,0.00
2026-03-17 15:15:18,-94,1.1539,108.47,-1.74
2026-03-17 15:20:24,-0.6,1.15354,0.69,0.00
2026-03-17 15:20:54,-0.27,1.15349,0.31,0.00
2026-03-17 15:21:24,-26.76,1.15264,30.84,0.00
2026-03-17 15:21:24,-0.02,1.15264,0.02,0.00
2026-03-17 15:21:25,27.04,1.15406,-31.21,0.00
2026-03-17 17:00:00,0.0054019,1.15433474,-0.01,0.00
2026-03-17 17:00:00,-0.01066206,1.15369806,0.01,0.00
2026-03-17 17:00:00,0.01198982,1.15444623,-0.01,0.00
2026-04-06 14:34:03,-315.17,1.1543,363.80,0.00
2026-04-06 14:34:03,-0.03,1.1543,0.03,0.00
2026-04-06 17:00:00,-0.00765644,1.15380073,0.01,0.00
2026-06-08 12:58:14,-202.11,1.15365,233.16,0.00
2026-06-08 12:58:14,-0.87,1.15359,1.00,0.00
2026-06-08 12:58:15,-0.03,1.1537,0.03,0.00
2026-06-08 13:01:11,-0.86,1.15349,0.99,0.00
2026-06-08 13:01:11,-262.23,1.15355,302.50,0.00
2026-06-08 13:01:12,-0.02,1.15355,0.02,0.00
2026-06-08 17:00:00,-0.00381115,1.15274933,0.00,0.00
2026-06-08 17:00:00,-0.00026024,1.15280169,0.00,0.00
2026-06-11 17:00:00,0.46630735,1.1580345,-0.54,0.00
2026-06-25 17:00:00,0.39572649,1.13714905,-0.45,0.00
2026-06-26 17:00:00,0.18442962,1.13864572,-0.21,0.00
2026-07-30 09:30:03,-0.88,1.14728,1.01,0.00
2026-07-30 09:30:06,-289.82,1.14732,332.52,0.00
2026-07-30 09:30:08,-0.08,1.14732,0.09,0.00
2026-07-30 17:00:00,0.00832928,1.15296805,-0.01,0.00
2026-07-30 17:00:00,-0.01035475,1.15232091,0.01,0.00
2026-08-13 17:00:00,0.19946873,1.15306295,-0.23,0.00
